name,url,closing_date,fields
International Bursaries and Scholarships 2025,https://www.zabursaries.co.za/international-scholarships-bursaries-south-africa/,,
High School Bursaries and Scholarships,https://www.zabursaries.co.za/high-school-bursaries-and-scholarships/,,
Scholarships and Bursaries for Primary School Students,https://www.zabursaries.co.za/scholarships-and-bursaries-for-primary-school-students/,,
How to write a Bursary Motivational Letter,https://www.zabursaries.co.za/how-to-write-a-bursary-motivational-letter/,,
Preparing for a Bursary Interview,https://www.zabursaries.co.za/preparing-for-a-bursary-interview/,,
Tips to submitting a bursary application!,https://www.zabursaries.co.za/tips-to-submitting-a-bursary-application/,,
Common Bursary Questions and Answers,https://www.zabursaries.co.za/common-bursary-questions-and-answers/,,
What expenses does a Bursary cover?,https://www.zabursaries.co.za/what-expenses-does-a-bursary-cover/,,
Writing an Affidavit for Bursary Applications,https://www.zabursaries.co.za/writing-an-affidavit-for-bursary-applications/,,
Changing your cellphone number or email address on SASSA SRD Grant,https://www.zabursaries.co.za/bursary-news/changing-cellphone-number-or-email-address-on-sassa-srd-grant/,,
How to apply for a SASSA Social Grant,https://www.zabursaries.co.za/bursary-news/how-to-apply-for-a-sassa-social-grant/,,
LDM Spaza Shop Competition South Africa 2024,https://www.zabursaries.co.za/bursary-news/ldm-spaza-shop-competition/,,
SASSA Application Criteria,https://www.zabursaries.co.za/bursary-news/sassa-application-criteria/,,
TymeBank Offers Grant Advance to SASSA Recipients,https://www.zabursaries.co.za/bursary-news/sassa-grant-advance-by-tymebank/,,
SASSA Grant Increases from 1 October 2024,https://www.zabursaries.co.za/bursary-news/sassa-grant-increases-from-1-october-2024/,,
SASSA Means Test,https://www.zabursaries.co.za/bursary-news/sassa-means-test/,,
SASSA Payment Dates for 2024,https://www.zabursaries.co.za/bursary-news/sassa-payment-dates/,,
SASSA Payment Dates for 2024 and 2025,https://www.zabursaries.co.za/bursary-news/sassa-payment-dates-2024-2025/,,
SASSA and Postbank announced a change to Grant Cash Payments,https://www.zabursaries.co.za/bursary-news/sassa-phasing-out-cash-points-at-post-offices/,,
How to submit your appeal for SASSA SRD Grant,https://www.zabursaries.co.za/bursary-news/sassa-grant-appeal/,,
SASSA SRD and Other Grant Increases for 2024,https://www.zabursaries.co.za/bursary-news/sassa-srd-grant-increase-2024/,,
SASSA Status Check  for R370,https://www.zabursaries.co.za/bursary-news/sassa-status-check/,,
SRD Grant Payment Dates for February 2024,https://www.zabursaries.co.za/bursary-news/srd-grant-payments-february-2024/,,
Students SASSA Grant Questions and Answers,https://www.zabursaries.co.za/bursary-news/students-sassa-grant-questions/,,
A2A Kopano Inc. Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/accounting-bursaries-south-africa/a2a-kopano-inc-bursary/,30 September annually.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Auditor-General of South Africa (AGSA) Bursary 2025,https://www.zabursaries.co.za/accounting-bursaries-south-africa/auditor-general-bursary/,15 October 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
BDO South Africa Incorporated Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/accounting-bursaries-south-africa/bdo-south-africa-incorporated-bursary/,31 October 2018.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Cape Gate Erwin Robert Balde Bursary South Africa 2025,https://www.zabursaries.co.za/accounting-bursaries-south-africa/cape-gate-erwin-robert-balde-bursary/,31 January 2025.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Deloitte Bursary South Africa 2022 – 2023,https://www.zabursaries.co.za/accounting-bursaries-south-africa/deloitte-touche-bursary/,None – submission of applications are open all year round and students are welcome to apply at any time.,
Ernest Oppenheimer Memorial Trust Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/accounting-bursaries-south-africa/ernest-oppenheimer-memorial-trust-bursary/,Currently closed for application.,
EY Bursary South Africa 2025,https://www.zabursaries.co.za/accounting-bursaries-south-africa/ernst-young-bursary/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
FASSET Bursary South Africa 2024,https://www.zabursaries.co.za/accounting-bursaries-south-africa/fasset-bursary/,15 February 2024 (at 23:59 midnight).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
FEMEF Mike Ilsley Memorial Scholarship South Africa 2022 – 2023,https://www.zabursaries.co.za/accounting-bursaries-south-africa/femef-mike-ilsley-memorial-scholarship/,15 December 2022.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Institute of Management Accounting and Strategy (IMAS) Bursary South Africa 2022 – 2023,https://www.zabursaries.co.za/accounting-bursaries-south-africa/institute-of-management-accounting-and-strategy-imas-bursary/,14 April 2022.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
KPMG Bursary South Africa 2022 – 2023,https://www.zabursaries.co.za/accounting-bursaries-south-africa/kpmg-bursary/,31 December 2022.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Mazars Bursary South Africa 2024,https://www.zabursaries.co.za/accounting-bursaries-south-africa/mazars-bursary/,12 November 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Momentum Investments Bursary South Africa 2025,https://www.zabursaries.co.za/accounting-bursaries-south-africa/momentum-investments-bursary/,4 October 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Moore Bursary South Africa 2025,https://www.zabursaries.co.za/accounting-bursaries-south-africa/moore-bursary/,29 October 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Old Mutual Accounting Bursary South Africa 2025,https://www.zabursaries.co.za/accounting-bursaries-south-africa/old-mutual-accounting-bursary/,31 October 2024 (extension).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
PricewaterhouseCoopers (PwC) Bursary South Africa 2025,https://www.zabursaries.co.za/accounting-bursaries-south-africa/pricewaterhousecoopers-bursary-south-africa/,1 September 2024.Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
RSM Education Trust Bursary South Africa 2024,https://www.zabursaries.co.za/accounting-bursaries-south-africa/rsm-education-trust-bursary/,15 October 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
SAICA Thuthuka Bursary South Africa 2025,https://www.zabursaries.co.za/accounting-bursaries-south-africa/thuthuka-bursary-fund/,31 August 2024 (at 12:00).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Schoeman Coetzee Bursary South Africa 2024,https://www.zabursaries.co.za/accounting-bursaries-south-africa/schoeman-coetzee-bursary/,30 June 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
SizweNtsalubaGobodo Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/accounting-bursaries-south-africa/sizwentsalubagobodo-bursary/,To be confirmed.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
SNG Grant Thornton Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/accounting-bursaries-south-africa/sng-grant-thornton-bursary/,To be confirmed.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Standard Bank Bursary South Africa 2025,https://www.zabursaries.co.za/accounting-bursaries-south-africa/standard-bank-bursary/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
UNISA BANKSETA Bursary South Africa 2023,https://www.zabursaries.co.za/accounting-bursaries-south-africa/unisa-bankseta-bursary/,26 June 2023 (at 16:00).(Applications submitted after these dates will not be accepted – please apply before the closing date to ensure your application is considered.),
Arts & Culture Trust (ACT) Nyoloha Scholarship South Africa 2025,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/arts-culture-trust-act-scholarship/,5 April 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Cape Audio College Bursary South Africa 2025,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/cape-audio-college-bursary/,30 November 2024 (extension).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
FEDISA Fashion School Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/fedisa-fashion-school-bursary/,15 August 2021.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Fine Music Radio (FMR) Bursary South Africa 2024,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/fine-music-radio-fmr-bursary/,14 June 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Gert-Johan Coetzee Bursary South Africa 2025,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/gert-johan-coetzee-bursary/,10 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
KZN Tourism and Film Authority Bursary South Africa 2025,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/kwazulu-natal-film-commission-bursary/,31 October 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
"Mmabana Arts, Culture and Sports Foundation Bursary South Africa 2022 – 2023",https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/mmabana-arts-culture-and-sports-foundation-bursary/,17 June 2022.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
NAC South Africa International Bursary 2023,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/national-arts-council-of-sa-bursary/,31 March 2023 (at 23h59).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Revolution Media Academy Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/revolution-media-academy-bursary/,30 October 2017.(Applications for 2019 will open in August 2018).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
SAMRO Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/samro-bursary/,29 March 2019.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
SARB Art Scholarship South Africa 2025,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/south-african-reserve-bank-scholarship/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
SASMT Teacher Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/sasmt-teacher-bursary/,15 September 2021.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
The Foschini Group Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/the-foschini-group-bursary/,None.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
The Lockdown Collection (TLC) Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/the-lockdown-collection-tlc-bursary/,31 July 2021.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Abey Mokgwatsane & ACA Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/commerce-bursaries-south-africa/abey-mokgwatsane-aca-bursary/,13 November 2020.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
ABSIP Bursary South Africa 2024,https://www.zabursaries.co.za/commerce-bursaries-south-africa/absip-bursary/,17 January 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Adapt IT Bursary South Africa 2024,https://www.zabursaries.co.za/commerce-bursaries-south-africa/adapt-it-bursary/,8 February 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
African Global Skills Academy/ Solarpop Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/african-global-skills-academy-solarpop-bursary/,31 May 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Agbiz Centenary Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/agribusiness-centenary-bursary/,2 December 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Aon Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/commerce-bursaries-south-africa/aon-bursary/,10 January 2021.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
BCE Foodservice Equipment Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/bce-foodservice-equipment-bursary/,31 October 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Brand South Africa Bursary 2022 – 2023,https://www.zabursaries.co.za/commerce-bursaries-south-africa/brand-south-africa-bursary/,24 November 2021.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Cenfri Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/cenfri-bursary/,13 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Clockwork Bursary South Africa 2024,https://www.zabursaries.co.za/commerce-bursaries-south-africa/clockwork-empowerment-fund-bursary/,7 February 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Coronation Exceptional Student Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/coronation-fund-managers-bursary-programme/,30 September 2024 (at 12:00).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Donald White/ Mandla A. Ndwanya Memorial Fund Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/donald-white-mandla-a-ndwanya-memorial-fund-bursary/,15 November 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Fairtree Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/fairtree-bursary/,25 November 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Ford Motor Company of Southern Africa Bursary 2021 – 2022,https://www.zabursaries.co.za/commerce-bursaries-south-africa/fmcsa-ford-bursary/,Applications are currently CLOSED.,
Genesis Educational Foundation (GEFT) Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/genesis-analytics-bursary/,31 August 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Grand Gaming Bursary South Africa 2024,https://www.zabursaries.co.za/commerce-bursaries-south-africa/grand-gaming-bursary/,31 May 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
HCI Resources / Palesa Coal Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/hci-resources-palesa-coal-bursary/,25 October 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Hollywood Foundation Bursary (Future is Bright) South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/hollywoodbets-bursary/,15 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Industrial Development Corporation (IDC) Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/industrial-development-corporation-idc-bursary/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Indwe Risk Services Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/commerce-bursaries-south-africa/indwe-risk-services-bursary/,15 June 2018.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
INSETA ISSF Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/inseta-issf-bursary/,16 November 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
